key,source,target
Content/3944973482,“莫西干”头部发型,
Content/564152109,“小胡子”面部造型,
Content/2637203536,“马尾辫”头部发型,
Content/824893789,“罗曼蒂克”面部造型,
Content/3104943150,“罗曼蒂克”头部发型,
Content/737920927,“惊吓”表情,
Content/3500347465,“自我拥抱”表情,
Content/3880711618,“雪球”表情,
Content/4118189319,“不给糖就捣蛋”一号表情,
Content/1013554616,“不给糖就捣蛋”二号表情,
Content/219533937,“火鸡”表情,
Content/3138522526,“维京人的胡子”面部造型,
Content/2920121055,“维京”头部发型,
Content/4224848549,“僵尸”表情,
Content/3980031050,(准备就绪),
Content/2256895573,(使用方向键来精确控制镜头),
Content/2134261022,+ CTRL  小号橡皮擦,
Content/269986323,+ SHIFT  大号橡皮擦,
Content/497236411,+ SHIFT  刷子,
Content/4123875000,+10%经验值!,
Content/1014767911,+25% 伤害输出和抗性!,
Content/2931295658,+33% 经验值!,
Content/4045375602,+伤害 +攻击速度 -变形时间,
Content/3050833898,+伤害 +防御 +速度,
Content/3467496701,+{0} 伤害 +{1} 攻击速度,
Content/4273581258,+{0}% 经验!,
Content/1893677442,-太空-,
Content/517918222,/ 天,
Content/625166385,/ 地区,
Content/2090832219,/ 出生地,
Content/185473321,/ 时间,
Content/1829654323,/ °(C),
Content/2942709849,"<RichColor Color=""0,1,1,1"">Shift+拖拽</>
分出一半, 取下附件
<RichColor Color=""0,1,1,1"">Ctrl+拖拽</>
分出一个
<RichColor Color=""0,1,1,1"">Q</> 切换物品信息",
Content/2692336772,"<RichColor Color=""1, 0, 0, 1"">你当前无法在雪景球中破解数据, 请等待</>",
Content/965772350,一个生物培养罐已被摧毁!,
Content/2206530554,"一头凶恶帝鳄正在四处游荡, 解决它!",
Content/2583428487,船长的征服,
Content/2425801926,一个可被安放在崖壁上的石头平台。,
Content/665913022,一个可被安放在崖壁上的金属平台。,
Content/462112536,一个可被安放在崖壁上的木头平台。,
Content/4178856760,食物配方,
Content/2258693240,一只巨河狸费了牛二虎之力才造好的。,
Content/4285541529,将一份礼物送给: ,
Content/2411178429,"七鳃鳗正在吸食血液, 但你因此带电了。把它拿走!",
Content/1258945881,一头跟随着的副栉龙死亡了。保护剩余成员!,
Content/1946664702,双坚颌龙拿走了你的{0}!,
Content/551841634,一只跟随着的海龟死亡了。保护剩余成员!,
Content/4257490739,正在显示一个颜色序列...,
Content/2524080733,一个空气储存罐被打破了!,
Content/417505482,"一种使用了泰克技能的动能装置, 用来赶路或者制造混乱。",
Content/1165938899,A Thankful Player,
Content/4166408377,"一个 [description of material] 栏杆, 作为一个简单的屏障, 以防人们跌落。",
Content/3268327688,黏土加工而成的栏杆。,
Content/3712099048,"黏土加工而成的门框, 用来安放各式各样的门。",
Content/3730317655,用燧石做为箭头的基础箭支。如箭支未损坏可回收使用。,
Content/661569187,一束能量光线正试图困住你!,
Content/3400428376,"一个绑着气囊的盒子, 可以用来运送货物。",
Content/1179133194,石头加工而成的栏杆。,
Content/834836238,石头加工而成的墙壁。,
Content/2988453232,"石头加工而成的门框, 用来安放各式各样的门。",
Content/2791871247,"石头加工而成的窗框, 用来安放窗门。",
Content/4198152297,"一块绷在木框上的帆布, 可用于绘画。",
Content/1097493725,带窗框的天花板,
Content/4007026263,"一个泰克梯子, 可用于上下高层建筑物, 也可延伸现有梯子。",
Content/2953796482,泰克材料加工而成的栏杆。,
Content/1073191436,"泰克材料加工而成的斜墙, 可以在上面安放倾斜房顶或天花板。",
Content/382308834,"一个泰克螺旋楼梯, 可用于楼层之间的来回移动。 ",
Content/4010586715,泰克材料加工而成的墙壁。,
Content/1052063382,"泰克材料加工而成的门框, 用来安放各式各样的门。",
Content/3663273379,"泰克材料加工而成的窗框, 用来安放窗门。",
Content/2627219668,"一团凝结的菊石黏液, 精心处理后可用于制药。",
Content/2689084317,"一团凝结的水蛭血液, 精心处理后可用于制药。",
Content/2892893841,从种子植物上获取纤维的绝佳工具。也可用于获取优质生鱼肉!,
Content/481616160,"一个装有菊石粘液提取物的飞镖, 若被射中后会激怒其附近的野生生物。可用于长管步枪。无法与附件一同使用。",
Content/1603524459,"能使任何房间都充满节日气氛的收集树叶制作而成的装饰性花环, 需要放在墙上。",
Content/1462102263,"能使任何房间都充满节日气氛的装饰性圣诞灯, 需要放在墙上。",
Content/1529723891,"一块可涂色的装饰用绒毛地毯, 可以降低脚步声。",
Content/659451773,"一种营养美味的零食, 适合用来诱捕生物或者钓鱼。",
Content/3918045472,一个装有强效水母毒素的飞镖。可用于长管步枪。无法与附件一同使用。,
Content/1972247754,"一个简易的近战武器, 也可投掷使用, 使用时可能会损坏。",
Content/568914570,"一个简易的近战武器, 特别适合打晕目标。攻击距离较近。",
Content/2331754534,一群副栉龙在山顶处徘徊。保护它们免于猎食者的攻击,
Content/785542175,"弹壳中放置了数颗简易弹丸, 供霰弹枪使用",
Content/869167524,一块坚硬但富有弹性的岛龟壳。可当作角质的替代物。,
Content/479681770,"一个结实又有弹性的材料。可在一些生物的角, 鳞甲, 壳和脊上找到。",
Content/3060240222,一个结实又有弹性的材料。主要产自拥有坚固有机材料的生物。,
Content/112912239,一个可漂浮的铁制平台。可以承受其上建筑物的重量。,
Content/2821608691,一个可漂浮的木制平台。可以承受其上建筑物的重量。,
Content/2238520035,一头跟随着的恐龙死亡了! 保护剩余成员!,
Content/908013957,"石头加工而成的地基, 建筑物必须搭建在地基上。",
Content/1759573278,"泰克材料加工而成的地基, 建筑物必须搭建在地基上。",
Content/369585906,"金属混凝土加工而成的地基, 建筑物必须搭建在地基上。",
Content/1842430220,"木头加工而成的地基, 建筑物必须搭建在地基上。",
Content/2258915904,"茅草加工而成的地基, 建筑物必须搭建在地基上。",
Content/2723549374,"一个巨型金属球, 适合摧毁坚固的建筑物。",
Content/444566352,"一个由金属锁链组成的巨型流星锤, 可捆住大型生物。需放入弩炮塔使用。",
Content/3349930717,一颗腐化恐龙的心脏。,
Content/3643015350,一块大石头。,
Content/3902028550,"由多种特殊材料制作的头盔, 能保护穿着者免受环境污染。",
Content/4114372802,一群大角鹿离开了它们通常的栖息地四处游荡。狩猎它们吧!,
Content/1778403504,"一群高等等级的凶恶异特龙正在四处游荡, 解决它们!",
Content/1891229947,一种高品质的花粉孢子。它们通常来自于沼泽生态圈中的特定开花植物。,
Content/2526504485,"一种大口径的现代子弹, 主要供制式狙击步枪使用。",
Content/354060062,"由耐用的合金制成的高科技弓, 可以以很高的速度发射弓箭。需要箭支搭配使用。",
Content/1599238315,一种被高度浓缩硬化过的气体沉淀物。处理后可以恢复成气态形式。,
Content/1162512989,"天际忽现兽群 数量之多见所未见 领头妖魔驻地而起 遮阴盖影 来袭之时 吾方慌忙撤营 然兽群步步紧逼也 不幸之至 此狩猎也 余为猎物

海莲娜所言 此宝石或可成余之助力 然吾不允其触及宝石 背抵背而战之时 余可保海莲娜 然余无力保其免受未知之物之害

此言差矣 欲战则迎头而战 敌数不在话下 吾当尽吾所能 所为众人而战 吾将胜 吾必胜",
Content/3611017299,"一个黏土恐龙门, 可以安放在黏土恐龙门框上。",
Content/1502860568,"一个黏土恐龙门, 可以安放在黏土恐龙门框上。",
Content/1487098803,"黏土加工而成的恐龙门框, 可供大多数恐龙进出。",
Content/1215941731,一颗重型炮弹。作为机甲攻城炮模块的弹药。,
Content/904900218,用于将茅草和粪便转化为优质肥料的箱子。,
Content/2434629783,"用于存放图纸, 便签, 和其他小饰品的大书架",
Content/1183122308,"石头加工而成的恐龙门框, 可供大多数恐龙进出。",
Content/614576630,一个存放物品的大柜子。,
Content/3884683019,"一个泰克巨兽恐龙门, 可以安放在泰克巨兽恐龙门框上。",
Content/4104746260,"一个泰克恐龙门, 可以安放在泰克恐龙门框上。",
Content/4120507327,"泰克材料加工而成的恐龙门框, 可供大多数恐龙进出。",
Content/1431552991,"泰克材料加工而成的巨兽恐龙门框, 可供体型巨大的恐龙进出。",
Content/2905349394,"一个大型耕地, 有一圈栅栏以防害虫进入。",
Content/2512819483,一个可将汽油转化为电能的大型机器。,
Content/500458221,用于地标导航或传递信息。,
Content/1431667136,"一个金属恐龙门, 可以安放在金属恐龙门框上。",
Content/1415907179,"金属混凝土加工而成的恐龙门框, 可供大多数恐龙进出。",
Content/1492296505,"一个金属镐子。主要用于从石头获取燧石, 从树木获取茅草, 从尸体获取生肉。",
Content/657523018,一个大型金属保险柜。,
Content/2809662736,"一个金属巨兽恐龙门, 可以安放在金属巨兽恐龙门框上。",
Content/4215106394,"金属混凝土加工而成的巨兽恐龙门框, 可供体型巨大的恐龙进出。",
Content/4274052656,"一个石镐, 主要用于从石头获取燧石, 从树木获取茅草, 从尸体获得生肉。",
Content/2134283146,"木头加工而成的恐龙门框, 可供绝大多数恐龙进出。",
Content/3550389647,用于地标导航或传递信息。,
Content/2890874290,"木头加工而成的恐龙门, 可以安放在木制恐龙门框上。",
Content/4118120034,"一个加固的黏土巨兽恐龙门, 可以安放在黏土巨兽恐龙门框上。",
Content/202415741,"一个加固的巨兽恐龙木门, 可以安放在石制巨兽恐龙门框上。",
Content/419442194,"一个加固的恐龙木门, 可以安放在石制恐龙门框上。",
Content/3204398812,一撮人类毛发!,
Content/1928142402,"一群低等等级的凶恶异特龙正在四处游荡, 解决它们!",
Content/2171457173,一块未精炼的金矿。生物常常会被其自然的光泽所吸引并把它们埋藏保存起来。,
Content/4091826192,"一块未精炼的金属矿石, 大多从山上或洞穴里的岩石开采出来。可在熔炼炉中加工。",
Content/3947068962,"岛屿地图, 你可在地图上标注你的计划。",
Content/1903602009,"一个拥有铸铁箭头的弩箭。只能用于弩炮塔或鱼叉枪。如未损坏, 可重复使用。",
Content/1277485918,"一个拥有麻醉箭头的弩箭。只能用于鱼叉枪。如未损坏, 弩箭可重复使用。",
Content/4196167291,"一个巨型恐龙门框, 可供体型巨大的恐龙进出。",
Content/3281651606,一个满身金属钉的巨大岩石。只能用于投石机炮塔。,
Content/3839053522,"一种机械触发装置, 被踩踏后可以激活附近的设备和建筑物。",
Content/1590574554,"一个中型耕地, 有一圈栅栏以防害虫进入。",
Content/2684118631,"一种中等口径的现代子弹, 主要用于制式步枪。",
Content/4000574303,"一种金属制的防护罩, 使用后可吸收正面伤害。",
Content/3730986575,"一个金属螺旋楼梯, 可用于楼层之间的来回移动。 ",
Content/703256836,"一种用聚合物和水晶增强的金属框架盾牌, 使用后可吸收正面伤害。",
Content/3803539853,"一种金属框制的玻璃天花板, 可提供隔热效果, 并可作为更高楼层的地板。非常适合用于建造种植室内作物的房间。",
Content/2233705500,"一种金属框制的玻璃门, 为建筑物提供入口。为了安全起见, 可以将其锁定。非常适合用于建造种植室内作物的房间。",
Content/2840809304,"一种金属框制的玻璃墙, 将室内和室外隔开。非常适合用于建造种植室内作物的房间。",
Content/1317579158,"一种金属框制的玻璃墙, 为建筑物提供入口。非常适合用于建造种植室内作物的房间。",
Content/3955091710,"一种金属框制的玻璃墙, 有一个窗户孔。非常适合用于建造种植室内作物的房间。",
Content/3625720885,金属混凝土加工而成的栏杆。,
Content/3919918407,金属加工而成的墙壁。,
Content/991268838,"金属加工而成的门框, 用来安放各式各样的门。",
Content/3321221515,"金属混凝土加工而成的窗框, 用来安放窗门。",
Content/1287095420,"一群中等等级的凶恶异特龙正在四处游荡, 解决它们!",
Content/4238495182,"一个只有神才能与之相配的神锤, 它带来的震撼本是雷霆的愤怒! 将此物品应用于泰克剑上, 可将其变为雷神之锤!
需要解锁泰克剑的印痕以后才能使用。
需要升到190级以后才能使用。
需要击败芬里尔巨狼 (困难) 以后才能使用。",
Content/2841035494,"影响留痕任务超时之后
留痕品质下降的速度。",
Content/254510415,"影响留痕任务超时之后
留痕品质下降的时长。",
Content/3159614410,黒到不能再黑的蘑菇。估计吃几个就能让人晕倒。,
Content/2866727988,附近的芬里尔坚定了你冰冷的决心!,
Content/1202873813,新的一波已经刷新,
Content/3081444095,一个舒适的壁炉。可以给一大片区域供温度和光照。,
Content/175764999,一种可以漂浮在水体表面的平台。,
Content/3922817575,有玩家过于远离检查点,
Content/1205252682,十字型的电缆,
Content/1468912956,十字型的金属水管,
Content/3844755953,十字型的石制水管,
Content/594624538,一个装有16发弹幕火箭的弹仓。作为机甲火箭发射器模块的弹药。,
Content/4211395204,"一个可随身携带的笼子, 用来囚禁犯人。",
Content/3628528145,一捆便携式绳梯。,
Content/1170429874,一个装有强效镇静剂的飞镖。可用于长管步枪。无法与附件一同使用。,
Content/1792487351,"一枚威力巨大的泰克导弹, 发射后可以被远程遥控。
需要先学会该泰克印痕技能才可使用。",
Content/4053638231,"一个头部是金属的强力近战武器, 但是它不像长矛一样可被投掷。",
Content/1285546724,"一个强力的战争武器, 适合摧毁各种加固建筑物。",
Content/770298239,来自深海底部的珍稀资源...,
Content/2032772310,"未消化的猫头鹰反刍物。由于其具有极高的营养价值, 经验丰富的农民经常使用它们替代传统肥料。",
Content/3219741904,"木头加工而成的加固门, 可以安放在门框上。",
Content/80237061,"一个有十个座位的梁龙鞍, 带上你的朋友吧!",
Content/4036034348,镰刀龙的鞍。,
Content/3717947351,一个马鞍。方便随身制作药剂!,
Content/3608531483,一种深受食草动物喜爱的多汁蔬菜蛋糕。食草动物在受伤时会主动进食它们。不过人类和食肉动物无法接受它的口味。 ,
Content/2197836836,"一套部落战鼓, 让周围的人都听到你部落的力量。",
Content/2709776661,"一把锋利的碎石斧子, 适合从树木采集木头, 岩石采集石头, 尸体采集兽皮。",
Content/510382965,"一把锋利的金属斧子, 适合从树木采集木头, 岩石采集石头, 尸体采集兽皮。",
Content/509740839,"由多种特殊材料制作的上衣, 能保护穿着者免受环境污染。",
Content/170356368,"一种肩载式能量武器, 可以自行设置目标和开火模式。
需要先学会该泰克印痕技能才可装备。",
Content/695178716,"一个简易的黏土梯子, 可用于上下高层建筑物, 也可延伸现有梯子。",
Content/2297247598,"一颗简易子弹, 主要用于简易手枪。",
Content/3978900725,"一个简单的金属梯子, 可用于上下高层建筑物, 也可延伸现有梯子。",
Content/1619306206,"需要挂在墙上使用, 用于地标导航或传递信息。",
Content/2199118734,"一个简单的远程武器, 适用于击晕目标, 需要石头来发射。",
Content/1254375499,"一个简易的绳梯, 可用于上下高层建筑物, 也可延伸现有梯子。",
Content/2228673057,"茅草加工而成的斜墙, 可以在上面安放倾斜房顶或天花板。",
Content/552420008,"一块朴素的石制墓碑, 用来插在坟头或者纪念所爱之人。",
Content/3104992571,茅草加工而成的墙壁。,
Content/2770811133,一个可坐下很多人的木制长凳。,
Content/155716257,一个简单的木头单人椅。,
Content/2043805673,"一个简单的木制梯子, 可用于上下高层建筑物, 也可延伸现有梯子。",
Content/2893259478,用于地标导航或传递信息。,
Content/1708836592,一个简单的多用途木头桌子。,
Content/2542269944,"需挂在墙上使用, 用于地标导航或传递信息。",
Content/1808900439,"仅需喝一口这碗热汤, 就可让你开拓思维并且拓展视野。短时间内大幅度提高获取到的经验值。",
Content/2271029041,"一个一次性的信号枪, 它发射引火粉做的弹药来暂时点亮一片区域。",
Content/194106767,从一头被击杀的精英X-三角龙身上获取的头骨。这个战利品证明了你作为一名猎人的价值。,
Content/1448781617,一个泰克三角倾斜屋顶。,
Content/261372092,一个黏土三角倾斜屋顶。,
Content/3385163581,一个温室三角倾斜屋顶。,
Content/737326839,一个金属三角倾斜屋顶。,
Content/2001476209,一个石制三角倾斜屋顶。,
Content/2233826799,一个可以储存少量物品的箱子。,
Content/1725089894,"一种小型但威力强大的爆炸物, 主要用在火箭发射器上。",
Content/225569894,"一小块奇特的高级物质, 浑身透射着能量。它在跨方舟传输时会溶解消失。",
Content/2868435810,"一个小型耕地, 有一圈栅栏以防害虫进入。",
Content/802247006,用于地标导航或传递信息。,
Content/590867025,"一小堆粉尘, 可以被提炼成能量元素或元素碎片。",
Content/268937615,一小堆废金属。 可以放在精炼炉中加工。,
Content/2727743845,"一种小口径的现代子弹, 主要用于制式手枪。",
Content/1577656852,"黏土加工而成的门, 可以安放在门框上。",
Content/804423180,"黏土加工而成的天花板, 可以安放在建筑物的顶部。",
Content/3556652483,"石头加工而成的天花板, 可以安放在建筑物的顶部。",
Content/2575908018,"泰克材料加工而成的门, 可以安放在门框上。",
Content/3532565766,"金属混凝土加工而成的天花板, 可以安放在建筑物的顶部。",
Content/2489543751,"金属混凝土加工而成的门, 可以安放在门框上。",
Content/3861391638,"木头加工而成的天花板, 可以安放在建筑物的顶部。",
Content/870428509,"木头加工而成的门, 可以安放在门框上。",
Content/3035915039,"一个石制螺旋楼梯, 可用于楼层之间的来回移动。 ",
Content/2216311333,水平方向的电缆,
Content/1732863782,水平的金属水管,
Content/2461441825,水平的石制水管,
Content/4248460569,"一种奇特的高级物质, 浑身透射着能量。它在跨方舟传输时会溶解消失。",
Content/713206124,"一种奇怪的、高度先进的、充满能量的材料。它在传输到其他方舟时会溶解
需要充电桩有电量时才能制作!",
Content/3234567803,"金属混凝土加工而成的斜墙, 可以在上面安放倾斜房顶或天花板。",
Content/534270666,"石头加工而成的斜墙, 可以在上面安放倾斜房顶或天花板。",
Content/994435857,"一个坚固的黏土框制玻璃斜墙, 非常适合用于建造种植室内作物的房间。",
Content/292740843,"一个坚固的金属框制玻璃斜墙, 非常适合用于建造种植室内作物的房间。",
Content/1135894298,木头加工而成的栏杆。,
Content/3334987611,"木头加工而成的倾斜房顶, 可以安放在斜墙或屋顶上。",
Content/3863954627,木头加工而成的墙壁。,
Content/1299601090,一股汹涌的能量使一群VR异特龙在你身边战斗一小段时间,
Content/2782296904,一股汹涌的能量使一只VR血蛛在你身边战斗一小段时间,
Content/2436950311,一股汹涌的能量使一群VR双型齿翼龙在你身边战斗一小段时间,
Content/4027352084,一股汹涌的能量使一对VR执行者在你身边战斗一小段时间,
Content/2595018101,一股汹涌的能量使一只VR猿狐在你身边战斗一小段时间,
Content/2790240297,一股汹涌的能量使一只VR猪鳄在你身边战斗一小段时间,
Content/4257444306,一股汹涌的能量使一对VR沙蛾在你身边战斗一小段时间,
Content/3386657042,一股汹涌的能量使一对VR螳螂在你身边战斗一小段时间,
Content/41461745,一股汹涌的能量使一群VR迅猛龙在你身边战斗一小段时间,
Content/2528785063,一股汹涌的能量使一群VR劫掠者在你身边战斗一小段时间,
Content/900179515,一股汹涌的能量使一对VR影鬃在你身边战斗一小段时间,
Content/656406093,一股汹涌的能量使一对VR剑龙在你身边战斗一小段时间,
Content/4081615229,一股汹涌的能量使一对VR三角龙在你身边战斗一小段时间,
Content/3245900971,一股汹涌的能量使一只VR刺面龙在你身边战斗一小段时间,
Content/2887566938,一股汹涌的能量可以让你在短时间内控制育母蜘蛛,
Content/2719888697,一股汹涌的能量可以让你在短时间内控制喷火龙,
Content/1685697455,一股汹涌的能量可以让你在短时间内控制银背金刚,
Content/1530342811,一股汹涌的能量可以让你在短时间内控制生物,
Content/2127325086,一股汹涌的能量正在迅速治愈你,
Content/3655036611,一股汹涌的能量阻止你受到伤害,
Content/3447798900,一股汹涌的能量让你的伤害输出提高四倍,
Content/3267770091,一个空气储存罐已发生故障!,
Content/4193537145,装满氧气的罐子。用于暂时的水下呼吸。,
Content/407241207,"茅草加工而成的天花板, 可以安放在建筑物的顶部。",
Content/363702224,"一团粘稠的油状墨汁, 可精炼成汽油。",
Content/1665235780,"一团未精炼的稠密油泡, 可同兽皮一起精炼成汽油。",
Content/1319402189,一团未精炼的稠密树脂。,
Content/3201364184,"一块厚重有着浓密毛发的皮, 小心地从一个死的动物身上剥下来。",
Content/1819888319,一块从死去动物身上剥下来的厚皮。,
Content/830502192,从腐化树木上砍下的硬物。性质与木头几乎一致!,
Content/123499882,从巨型蘑菇上砍下的硬物。性质与木头几乎一致!,
Content/3402264608,一块坚固厚实的木材。,
Content/2480169636,"一种粘稠的物质, 点燃后可以燃烧非常久的时间。",
Content/1854609418,一条连接区域的窄走道。,
Content/4156508258,"泰克材料加工而成的栈桥, 用来连接不同的区域。",
Content/419257448,"金属混凝土加工而成的栈桥, 用来连接不同的区域。",
Content/2841623434,"木头加工而成的栈桥, 用来连接不同的区域。",
Content/1601675808,一颗来自于稀有的金色条纹巨齿鲨的牙齿。这个战利品证明了你作为一名猎人的价值。,
Content/2369453014,一个带有金属连接的可以照亮照暖当前区域的火炬。必须放在墙上。,
Content/1490536050,一个带有长管的火炬。可以提供照明和热量。,
Content/4228926657,一种发现于地下的稀有资源。可以被分解和用于现代科技。,
Content/4046823727,"一种不稳定的物质, 可用于喂养岩龙!",
Content/1583862236,一堵高度为正常四倍的墙壁。,
Content/1780049765,带门框的墙,
Content/1890610402,带窗框的墙,
Content/3705001413,边缘微微闪着光的青色蘑菇。看上去很提神。,
Content/2084549226,"有女名海莲娜, 昨至吾营, 非为顾吾。其言本为学者, 学岛上之兽, 望观吾之兽群。吾始拒之所求。因不明其所为, 何能将兽交与此女? 且与此岛探究学术, 是疯人邪? 然其志坚不弃, 少时以诚相服。

吾不知此之对错。海莲娜怪问不断, 如吾兽之排便与交配之习。不知其为何有此问, 怪人也。",
Content/3429112214,一个木制三角倾斜屋顶。,
Content/3353545098,带有一层皮的木制盾牌。使用后可吸收正面伤害。,
Content/2718570519,"一个木制螺旋楼梯, 可用于楼层之间的来回移动。 ",
Content/140781927,"木头加工而成的门框, 用来安放各式各样的门。",
Content/1425025808,"木头加工而成的窗框, 用来安放窗门。",
Content/2333633153,畸变,
Content/3221413509,"畸变: 
这是一个因故障而被废弃的方舟。生存者将在畸变的地下世界中醒来, 在这里面临异乎寻常的挑战: 极端日照辐射和环境灾害、滑索、滑翔翼、登山镐、穴居生物、蓄电池等等。神秘的深渊里还有各种非凡的新物种等待人们的发现。但是要特别小心“无名怪”, 这是一种被元素腐蚀且畏光的类人生物! 在畸变的世界中, 只有最坚强聪明的生存者才能发现方舟的终极秘密!",
Content/2889741436,打开物品栏等级,
Content/4200922805,打开对方物品栏: ,
Content/1883880158,操作选择,
Content/309259676,该群组建筑物使用等级为,
Content/4286894949,激活的活动:,
Content/4063143103,激活的小组:,
Content/3339414341,当前任务,
Content/2779787799,启用的模组(优先级从上至下),
Content/1773289101,添加,
Content/60283416,添加到列表中,
Content/347434633,ADD ADMIN,
Content/3249460900,将标记添加到地图,
Content/2236428377,添加模组,
Content/2237198540,添加到收藏,
Content/2575259516,管理员指令,
Content/763511027,管理员日志:,
Content/1308961904,管理员菜单,
Content/1396182663,ADMINISTRATOR PLAYERS,
Content/1929540269,高级,
Content/4210763376,"高级
设置",
Content/1648523102,高级规则,
Content/1647901388,高级设置,
Content/4147667013,浮空助推,
Content/2411685078,瞄准,
Content/244647838,需护送的恐龙全部死亡,
Content/2245217502,全部任务,
Content/462816511,全部模式,
Content/476165218,全部副栉龙已死亡,
Content/8670545,全部海龟已死亡,
Content/2574392412,联盟,
Content/3217629777,允许他人完成留痕任务:,
Content/4113113470,允许踢人,
Content/1029604563,允许PVE洞穴口建筑:,
Content/4022631473,ALLOW CROSSHAIR,
Content/881665162,显示准心:,
Content/3173682208,启用自定义食谱:,
Content/3319238306,允许降级,
Content/2250882463,允许PvE模式飞行宠抓物:,
Content/2056471220,允许升级飞行宠速度:,
Content/655413324,ALLOW HIT MARKERS,
Content/223457878,显示命中提示标识:,
Content/1497009147,允许招募,
Content/513082612,允许平台鞍上建造多层建筑:,
Content/4280176090,允许升级,
Content/3175175749,允许PVE计时器:,
Content/3229011067,允许PVE使用系统时间:,
Content/3982864096,允许泰坦类恐龙进食:,
Content/3903431847,允许第三人称视角:,
Content/2581549392,允许多次重置属性点:,
Content/989040373,选择可使用的印痕技能,
Content/3448395298,按名称排序,
Content/3317985512,ALPHAFENRIR,
Content/2473252775,AMBIENT VOLUME,
Content/280790019,环境音量:,
Content/3012429175,弹药,
Content/1150329774,家谱,
Content/1260667527,家谱,
Content/3114149007,抗锯齿:,
Content/1667171647,应用,
Content/504647179,应用印痕技能点数,
Content/2199832460,上色,
Content/28601494,应用设置,
Content/2972049065,北极生态圈,
Content/2332366455,方舟,
Content/2024041667,ARK Anniversary Cake Slice,
Content/2970259391,方舟中的生物,
Content/4253039527,方舟数据,
Content/1572157195,方舟物品栏,
Content/1076694996,方舟中的物品,
Content/3822619365,方舟物品栏,
Content/2488713597,方舟名称:,
Content/2125079043,方舟新闻,
Content/1885334415,方舟印痕技能,
Content/542937958,方舟规则,
Content/2132341149,"由方舟
赞助的模组",
Content/578994238,"方舟的世界非常广袤, 需要花费大量时间来探索。掌握定位技巧的关键是要能辨识出各种地标。将方尖碑、 洞穴、山峰以及它们周遭的生态地貌与您的小地图联系起来。沿海地带一般是最安全的地区。随着您向内陆挺进, 并且进入高海拔地区, 地图的难度将会增加。充分探索方舟世界, 发现其中的秘密, 找到隐藏在洞穴中的上古神器并且用它们来召唤守护者。在打败了这些无比强大的敌人后, 您便可以揭开方舟世界的神秘面纱。",
Content/1712335876,手臂长度,
Content/4137572433,护甲:,
Content/3620577245,手臂,
Content/3384707365,ATTACHED,
Content/586660906,攻击或跳跃以获得自由,
Content/819729037,注意: 为用户输入做好准备,
Content/730466445,声音,
Content/4110809223,AUTO CHATBOX,
Content/3705620255,自动收藏服务器:,
Content/3235575369,PVE自动开始时间(秒):,
Content/284654535,PVE自动结束时间(秒):,
Content/1428914913,可用原料,
Content/370082995,可用模组,
Content/2267086879,嗨嗨嗨!,
Content/1759683947,"放弃希望! 不要寻找主人!

没人可以匹敌他无限的力量。没人可以看穿他的权威。

我一直都是个傻瓜。我们所有人, 我们全都是傻瓜! 我们从来都没有在这个可怕的地方求生下去的机会。只有死亡在等待着我们!

这是没有出口的监狱。这是一个无边的地狱。

没有人能逃脱主人的魔掌! 没有人能逃离罗克韦尔!",
Content/3997750157,Aberdeen,
Content/1388124164,魔窟头盔,
Content/1555080175,魔窟之剑,
